pause|pause|intransitive verb.noun.verb (usu participle)
rest|rest|noun.verb (usu participle).transitive verb.intransitive verb.superlative adjective
hesitation|hes·i·ta·tion|noun
temporary|tem·po·rar·y|positive adjective.noun
musical|mu·si·cal|positive adjective.noun
indefinite|in·def·i·nite|positive adjective
duration|du·ra·tion|noun
playing|play·ing|noun.positive adjective.gerund
season|sea·son|noun
end|end|noun
backward|back·ward|positive adjective.adverb
rewind|re·wind|verb (usu participle).transitive verb.noun
regret|re·gret|verb (usu participle).noun
fueling|fu·el·ing|noun.gerund
productivity|pro·duc·tiv·i·ty|noun
balancing|bal·anc·ing|noun.gerund
periods|pe·ri·ods|noun.plural noun
fully|ful·ly|adverb
absorbed|ab·sorbed|positive adjective.past tense
attention|at·ten·tion|noun.interjection
intermittent|in·ter·mit·tent|positive adjective
renewal|re·new·al|noun
future|fu·ture|noun.positive adjective
splitting|split·ting|positive adjective.noun.gerund
attention|at·ten·tion|noun.interjection
bed|bed|noun.past tense
earlier|ear·li·er|adverb.comparative adjective
focusing|fo·cus·ing|noun.gerund
while|while|conjunction.noun.preposition.transitive verb
at
same|same|positive adjective.adverb
time|time|noun.verb (usu participle)
nonstop|non·stop|positive adjective.adverb.noun
input|in·put|noun.transitive verb
output|out·put|noun.verb (usu participle)
forces|forc·es|plural noun
accelerating|ac·cel·er·at·ing|positive adjective.gerund
lives|lives|noun
imagine|im·ag·ine|verb (usu participle).transitive verb
downsizing
size|size|noun.verb (usu participle).transitive verb.positive adjective
always|al·ways|adverb
room|room|noun.intransitive verb.verb (usu participle)
already|al·read·y|adverb
absorb|ab·sorb|transitive verb.verb (usu participle)
choices|choices|noun.positive adjective.plural noun
far|far|noun
often|of·ten|adverb.positive adjective
meetings|meet·ings|noun.plural noun
emails
tweets|tweets|interjection.intransitive verb.noun.verb (usu participle).plural noun.singular verb
facebook
update|up·date|verb (usu participle).transitive verb.noun
updates|up·dates|verb (usu participle).transitive verb.noun.plural noun.singular verb
purchases|pur·chas·es|transitive verb.noun.verb (usu participle).plural noun.singular verb
friends|friends|noun.transitive verb.plural noun.singular verb
likes|likes|positive adjective.preposition.adverb.conjunction.noun.transitive verb.verb (usu participle).plural noun.singular verb
fan|fan|noun
fans|fans|noun.verb (usu participle).plural noun.singular verb
followers|fol·low·ers|noun
prioritization
increasingly|in·creas·ing·ly|adverb
delegate|del·e·gate|noun.verb (usu participle).transitive verb
eliminate|e·lim·i·nate|transitive verb.verb (usu participle)
dimension|di·men·sion|noun.transitive verb.verb (usu participle)
life|life|noun
new|new|noun
stop|stop|verb (usu participle).transitive verb.intransitive verb.noun
doing|do·ing|noun.gerund
ruthlessly|ruth·less·ly|adverb
selective|se·lec·tive|positive adjective
working|work·ing|noun.positive adjective.gerund
memory|mem·o·ry|noun
information|in·for·ma·tion|noun
first|first|positive adjective.noun.adverb
solution|so·lu·tion|noun
moment|mo·ment|noun
calmer|calm·er|comparative adjective
receptive|re·cep·tive|positive adjective
manage|man·age|verb (usu participle).intransitive verb.noun
whatever|what·ev·er|pronoun.definite article.comparative adjective
arise|a·rise|verb (usu participle)
arises|a·ris·es|verb (usu participle).singular verb
sense|sense|noun.transitive verb.verb (usu participle)
increasingly|in·creas·ing·ly|adverb
complex|com·plex|positive adjective.noun
demanding|de·mand·ing|positive adjective.gerund
world|world|noun.positive adjective
times|times|noun
during|dur·ing|preposition.gerund
day|day|noun
back|back|noun.positive adjective.adverb.verb (usu participle)
reflect|re·flect|verb (usu participle).transitive verb.intransitive verb
metabolize|me·tab·o·lize|verb (usu participle)
less|less|definite article.adverb.preposition.noun.positive adjective
data|da·ta|noun
context|con·text|noun
volume|vol·ume|noun
depth|depth|noun
happen|hap·pen|intransitive verb.transitive verb.adverb.verb (usu participle)
running|run·ning|positive adjective.noun.gerund
next|next|positive adjective.adverb.preposition
every|eve·ry|definite article.positive adjective
between|be·tween|preposition.adverb
purposeful|pur·pose·ful|positive adjective
while|while|conjunction.noun.preposition.transitive verb
activities
sequentially|se·quen·tial·ly|adverb
simultaneously|si·mul·ta·ne·ous·ly|adverb
remember|re·mem·ber|verb (usu participle).transitive verb.comparative adjective
learn|learn|verb (usu participle).transitive verb.intransitive verb
journal|jour·nal|noun
adult|a·dult|positive adjective.noun
life|life|noun
collect|col·lect|verb (usu participle).transitive verb.intransitive verb.adverb.positive adjective.noun
idea|i·de·a|noun
ideas|i·de·as|noun.plural noun
occur|oc·cur|verb (usu participle)
real|re·al|positive adjective.noun.adverb
value|val·ue|noun.transitive verb.verb (usu participle)
discover|dis·cov·er|transitive verb.verb (usu participle).comparative adjective
discovered|dis·cov·er·ed|positive adjective.past tense
periodically|pe·ri·od·i·cal·ly|adverb
revisiting|re·vis·it·ing|gerund
trip|trip|noun
trips|trips|noun.intransitive verb.transitive verb.verb (usu participle).plural noun.singular verb
interrupted|in·ter·rupt·ed|positive adjective.past tense
time|time|noun.verb (usu participle)
reevaluating|re·e·val·u·at·ing|transitive verb.gerund
fresh|fresh|positive adjective.noun.verb (usu participle).adverb
fade|fade|verb (usu participle).intransitive verb.noun
away|a·way|adverb.positive adjective.noun.interjection
instant|in·stant|noun.positive adjective.adverb
action|ac·tion|noun.interjection
ripen|rip·en|verb (usu participle)
act|act|noun.intransitive verb.transitive verb.verb (usu participle)
before|be·fore|conjunction.preposition.adverb
instant|in·stant|noun.positive adjective.adverb
gratification
information|in·for·ma·tion|noun
new|new|noun
news|news|noun
limit|lim·it|noun.transitive verb.verb (usu participle)
night|night|noun
relaxing|re·lax·ing|positive adjective.gerund
sense|sense|noun.transitive verb.verb (usu participle)
perceiving|per·ceiv·ing|noun.gerund
pass|pass|noun
passing|pass·ing|positive adjective.adverb.noun.gerund
changing|chang·ing|positive adjective.gerund
pattern|pat·tern|noun.verb (usu participle)
thought|thought|verb (usu participle).noun
causation|cau·sa·tion|noun
changes|changes|verb (usu participle).transitive verb.intransitive verb.noun.plural noun.singular verb
event|e·vent|noun
events|e·vents|noun.plural noun
temporal|tem·po·ral|positive adjective
relations|re·la·tions|plural noun.noun
following|fol·low·ing|positive adjective.noun.gerund
present|pres·ent|positive adjective.noun.verb (usu participle).transitive verb
relation|re·la·tion|noun
present|pres·ent|positive adjective.noun.verb (usu participle).transitive verb
simultaneous|sim·ul·ta·ne·ous|positive adjective
successive|suc·ces·sive|positive adjective
paradox|par·a·dox|noun
notion|no·tion|noun
perceiving|per·ceiv·ing|noun.gerund
occurring|oc·cur·ring|intransitive verb.gerund
straight|straight|positive adjective.adverb.noun
forward|for·ward|noun
solution|so·lu·tion|noun
cease|cease|verb (usu participle).noun
ceased|ceas·ed|verb (usu participle).past tense
senses|sens·es|noun.transitive verb.verb (usu participle).plural noun.singular verb
duration|du·ra·tion|noun
past|past|noun
present|pres·ent|positive adjective.noun.verb (usu participle).transitive verb
change|change|verb (usu participle).transitive verb.intransitive verb.noun
passage|pas·sage|noun.verb (usu participle)
aware|a·ware|positive adjective
times|times|noun
motion|mo·tion|noun.verb (usu participle)
spatial|spa·tial|positive adjective
positions|po·si·tions|noun.transitive verb.verb (usu participle).plural noun.singular verb
earliest|ear·li·est|adverb.superlative adjective
died|di·ed|intransitive verb
young|young|noun
age|age|noun
long|long|noun
god|god|noun.interjection
non-existent
presently|pres·ent·ly|adverb
durationless|du·ra·tion·less|positive adjective
measuring|meas·ur·ing|noun.gerund
measure|meas·ure|noun.intransitive verb.transitive verb.verb (usu participle)
interval|in·ter·val|noun
mind|mind|noun.verb (usu participle).transitive verb
following|fol·low·ing|positive adjective.noun.gerund
temporal|tem·po·ral|positive adjective
rucially
process|proc·ess|noun.transitive verb.intransitive verb.verb (usu participle).singular verb
mind-independent
item|i·tem|noun.verb (usu participle).transitive verb.adverb
psychological
occurred|oc·curred|intransitive verb
ago|a·go|adverb.positive adjective
contrast|con·trast|verb (usu participle).noun
persists|per·sists|intransitive verb.verb (usu participle).singular verb
trace|trace|noun
quickly|quick·ly|adverb
memories
distant|dis·tant|positive adjective
relative|rel·a·tive|positive adjective.noun
instance|in·stance|noun.transitive verb.verb (usu participle)
date|date|noun.transitive verb.intransitive verb.verb (usu participle)
inference|in·fer·ence|noun
short|short|noun
intervals|in·ter·vals|noun.plural noun
minute|min·ute|noun.transitive verb.positive adjective
minutes|min·utes|plural noun.noun
second|sec·ond|positive adjective.noun.transitive verb.adverb.verb (usu participle)
seconds|se·conds|positive adjective.noun.transitive verb.adverb.verb (usu participle).plural noun.singular verb
hour|hour|noun
hours|hours|plural noun
year|year|noun
years|years|noun
month|month|noun
months|months|noun.plural noun
week|week|noun.adverb
weeks|weeks|noun
delay|de·lay|transitive verb.intransitive verb.noun.verb (usu participle)
delays|de·lays|transitive verb.intransitive verb.noun.verb (usu participle).plural noun.singular verb
occurrence|oc·cur·rence|noun
period|pe·ri·od|noun
time|time|noun.verb (usu participle)
eventually|e·ven·tu·al·ly|adverb
rate|rate|noun.verb (usu participle).transitive verb
rapidly|rap·id·ly|adverb
immediately|im·me·di·ate·ly|adverb.conjunction
intuition|in·tu·i·tion|noun
lengthshort-term
future|fu·ture|noun.positive adjective
indefinite|in·def·i·nite|positive adjective
time|time|noun.verb (usu participle)
period|pe·ri·od|noun
after|af·ter|preposition.adverb.conjunction.comparative adjective
present|pres·ent|positive adjective.noun.verb (usu participle).transitive verb
arrival|ar·ri·val|noun
inevitable|in·ev·i·ta·ble|positive adjective.noun
